# CoCo3 OS-9 AGI IMAGE MANIFEST -- harness/tools/game_manifest.py --os9
# ★ MANIFEST ONLY. No game data is in this repository and none ever may be (§2P).
# ONE ROW PER IMAGE, not per title: the media variants are different builds.
# agi_bytes counts AGI resources ONLY -- Sierra's interpreter (CMDS/Sierra, MnLn,
# Scrn, Shdw, TOCGen) and the OS-9 host (OS9Boot, MODULES/, shell utilities) are
# CODE our port replaces, and are reported separately.
# stride 512 = DrivePak container (one 256-byte OS-9 sector per 512-byte block).
#
image	sha256	image_bytes	stride	sectors	volume	dd_fmt	version	files	agi_files	agi_bytes	vols	interp_bytes	host_bytes
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Original/KQ3-1-2.DSK	6e2cfcfacb7c0a9f169313c909087979762174ec646946d353f5887f430a35b1	161280	256	630	KQ3_D1_S2	0x02	none	3	3	97353	2	0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Original/KQ3-2-1.DSK	ddc6b2cee94d0433715c6205e337525778f35d248133810993e859b803189082	161280	256	630	KQ3_D2_S1	0x02	none	4	4	153769	3	0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Original/KQ3-2-2.DSK	10b060ea59706e0611287512db0a6a87a98a80142af70242461877f09bb28e0f	161280	256	630	KQ3_D2_S2	0x02	none	4	4	131907	3	0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Original/KQ3-3-1.DSK	72239f2a4094878685444153d420f74d77490bceb1981ab4a2e80da6a4dd9f98	161280	256	630	KQ3_D3_S1	0x02	none	5	5	144223	4	0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Original/KQ3-3-2.DSK	e1897ba91ec60cc69b95998b2a2f0d375d65a20e18df799be6ea1e00546f5ea2	161280	256	630	KQ3_D3_S2	0x02	none	5	5	143285	4	0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Original/KQ3-4-1.DSK	6f5e0e38ecf6dbd796a0f74956756e5ae5847c0092a6d4c34564c2c72ff8c1fd	161280	256	630	KQ3_D4_S1	0x02	none	4	4	144411	3	0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Original/KQ3-4-2.DSK	5f2d05e8dedf3a3b7e5266fc45ecff13a43d51d059c1f97c8acd6e05c5ea00f1	161280	256	630	KQ3_D4_S2	0x02	none	4	4	145246	3	0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Original/KQ3-5-1.DSK	513f99310577a2ce122f4bfbd6189820e1c0c608e6733f0a478812f3f93865eb	161280	256	630	KQ3_D5_S1	0x02	none	4	4	133880	3	0	0
King's Quest III (Sierra On-Line) (OS-9) (Coco 3)/Original/KQ3-5-2.DSK	39f2f14078ac0bc3ad0ce1d11c3e38225433813e64310ab388afa60891e60285	161280	256	630	KQ3_D5_S2	0x02	none	4	4	144610	3	0	0
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq4.dsk	fd90fe5c5cdf6990c4dd06ca0bd8cd7e634e10d1b77570dbed501742a251cd78	2949120	256	11520	King's Quest 4	0x02	v2	35	16	1399859	10	37162	41739
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq4-drivepak.par	b7e0dff2a26a7da148d7e1852b96604224c9b8a6d305dce8ed79241a5aebbd72	5898240	512	11520	King's Quest 4	0x02	v2	33	16	1399859	10	37162	38656
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq4-becker.dsk	178c2b9986ad05b27b79a53bd4599fddf64258e0ad5f23afb37dca806d470aef	1502208	256	5868	King's Quest 4	0x02	v2	34	16	1399859	10	37162	42330
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq4-dw.dsk	4b39a10f18859047532f3d5db4e16a284824464044966b3248a7ae0568bda9ce	1501696	256	5866	King's Quest 4	0x02	v2	34	16	1399859	10	37162	41926
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq4-1.dsk	69c99a49f13aa4b5f48a36f1bcd975cdb39a874c0ad1ea7ebeea1b67d68dd4f0	368640	256	1440	King's Quest 4 Disk 1	0x03	v2	19	9	186655	3	37162	31938
King's Quest IV (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq4-2.dsk	ac6a4392fa60799bda6d72fbcf340429c424608bbabe854feda8ee84e8e17084	368640	256	1440	King's Quest 4 Disk 2	0x03	none	4	4	348159	3	0	0
