# CoCo3 OS-9 PER-FILE INVENTORY -- harness/tools/game_manifest.py --os9
# ★ sha256 is of the FILE CONTENT read out of the image. Content only: no AGI
# resource is decoded, and no game byte is stored here -- only its digest.
#
image	file	kind	size	actual	sha256	short
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/attr	host	511	511	e548ed01c4a6a2a694968529825024bbfc0626d17052481065084407685e2777	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/copy	host	1469	1469	a4f245eab570f1189d66324603016a1aec184d17fd4f422d0dad3d3305a9ec9b	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/del	host	103	103	660874a5bef09641c8acd6e5ed3dec8ac480b15931a083b6f89263b5226c8490	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/deldir	host	626	626	a1789f5698abc2654c0b029a67512c91e865baab7f20da3f28390787b6cac26a	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/format	host	4295	4295	b084b1a11ae7914d4e288b8abd49cd14b4e55bad842feb84bc9e389e8a5fe0d1	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/makdir	host	175	175	b192f728283e9fb5b1f0ff1a107c1984e6e3fb92be0510f74dc65f6c1c141088	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/MnLn	interpreter	25559	25559	c64de18528a7c6dbac67a732398240149ff1d025ab1c79b6dc46e72b6f7e59a6	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/rename	host	285	285	00a12333cbb86058f211241b7a649ef69eb7dc845ec1ae15015c4a1a8fda7cd6	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/Scrn	interpreter	1996	1996	07294eae61462220e7f6bfa80a28265bf094ad400a5eab37a83c2c7232a63c48	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/sdir	host	1393	1393	dca3c7ad5ab79597c48174bd5946a8cf4736c77ce623e18b2ef9a840d15c544d	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/sdrive	host	814	814	f564db69926216432b0f71fbd3ae5904fe0610a2e92d6838d318301c96eb3f2a	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/Shdw	interpreter	2484	2484	5779e4dce893e16f00b766f6769c9cf088f7ccbb430bfdb58f10fe5f946fa868	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/shell	host	8721	8721	5f8106e351fc6aaebd1a05bb45123ce5ecd746b412f4cbcffee9332e30ed0f96	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/Sierra	interpreter	1371	1371	4f41f53e8951ba45556d3923eb06bc8fa39b545e2351bd87d90b383c5807e562	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	CMDS/TOCGen	interpreter	5752	5752	4adcfef0329f4c1494550d80fa721a307c95695ea09b5261a2bb18d544e52eee	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	logDir	agi	315	315	5f3e02f7829fd6f1359a230f4854e6a309ae096b3520ea85375f3c7f058cc25f	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	object	agi	331	331	2d1b7a75bb443b4a340cb8d9a2842ff5c834d7d597ea2a1365b6a7a2dfb57985	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	OS9Boot	host	22834	22834	c65d31382d58fdf32113684126cddf4c5fdb4fe3d92fb07573812ac7eb1cbc4f	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	picDir	agi	255	255	924efb103fb14d42b1795a8bef60bbd426135d73c583700973762c289dae6f2d	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	sndDir	agi	66	66	20fcf2d91e3b8e1129725015daf185e2699e23f59842dbd076d14bc1fc2e4d5e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	Startup	host	366	366	fffbf3a7eb9d79a75f6ae4adddde194adf5b995cc54b7739fce21c73b4873c38	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	toc	host	8	8	5ae542ba3330d3c47a1d4277606de7f0c168730b921e6410bc4c6e64f5b761e0	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	toc.txt	host	15	15	6d4515f8d3fe942c2d22bbe12ea163840ad11ecc99b30dea2fd62d8ddef4c156	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	viewDir	agi	432	432	cde48f233467f89fc36ca780bf12501e9f53ab8e1bd6986f5af7ec199fd0a830	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	vol.0	agi	25698	25698	ae51fcd87c385099e0601eb6b933cf13d8d7ae91442e8e0c6bcdb324f4c973e1	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	vol.1	agi	157561	157561	5a730f6135befda48e3859c5666ad2eb74494d66aca6aee79007d4960486749e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	vol.2	agi	69055	69055	b5edbaf48810cf287b2af3505cce4a1d0cf5350e5cdf14d39a77bccaa08f4ab5	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/kq1.dsk	words.tok	agi	3144	3144	41d863172326c712c0aebadf12fc63b049ff5d892743f4ee990004c344eb3780	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/attr	host	511	511	e548ed01c4a6a2a694968529825024bbfc0626d17052481065084407685e2777	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/copy	host	1469	1469	a4f245eab570f1189d66324603016a1aec184d17fd4f422d0dad3d3305a9ec9b	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/del	host	103	103	660874a5bef09641c8acd6e5ed3dec8ac480b15931a083b6f89263b5226c8490	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/deldir	host	626	626	a1789f5698abc2654c0b029a67512c91e865baab7f20da3f28390787b6cac26a	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/format	host	4295	4295	b084b1a11ae7914d4e288b8abd49cd14b4e55bad842feb84bc9e389e8a5fe0d1	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/makdir	host	175	175	b192f728283e9fb5b1f0ff1a107c1984e6e3fb92be0510f74dc65f6c1c141088	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/MnLn	interpreter	25559	25559	c64de18528a7c6dbac67a732398240149ff1d025ab1c79b6dc46e72b6f7e59a6	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/rename	host	285	285	00a12333cbb86058f211241b7a649ef69eb7dc845ec1ae15015c4a1a8fda7cd6	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/Scrn	interpreter	1996	1996	07294eae61462220e7f6bfa80a28265bf094ad400a5eab37a83c2c7232a63c48	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/Shdw	interpreter	2484	2484	5779e4dce893e16f00b766f6769c9cf088f7ccbb430bfdb58f10fe5f946fa868	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/shell	host	8721	8721	5f8106e351fc6aaebd1a05bb45123ce5ecd746b412f4cbcffee9332e30ed0f96	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/Sierra	interpreter	1371	1371	4f41f53e8951ba45556d3923eb06bc8fa39b545e2351bd87d90b383c5807e562	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	CMDS/TOCGen	interpreter	5752	5752	4adcfef0329f4c1494550d80fa721a307c95695ea09b5261a2bb18d544e52eee	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	logDir	agi	315	315	5f3e02f7829fd6f1359a230f4854e6a309ae096b3520ea85375f3c7f058cc25f	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	object	agi	331	331	2d1b7a75bb443b4a340cb8d9a2842ff5c834d7d597ea2a1365b6a7a2dfb57985	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	OS9Boot	host	21958	21958	0418ed8d0c3b881ca7126a68624029e42c5df0bfa2538354bbac37d9d1c67a29	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	picDir	agi	255	255	924efb103fb14d42b1795a8bef60bbd426135d73c583700973762c289dae6f2d	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	sndDir	agi	66	66	20fcf2d91e3b8e1129725015daf185e2699e23f59842dbd076d14bc1fc2e4d5e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	Startup	host	366	366	fffbf3a7eb9d79a75f6ae4adddde194adf5b995cc54b7739fce21c73b4873c38	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	toc	host	8	8	5ae542ba3330d3c47a1d4277606de7f0c168730b921e6410bc4c6e64f5b761e0	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	toc.txt	host	15	15	6d4515f8d3fe942c2d22bbe12ea163840ad11ecc99b30dea2fd62d8ddef4c156	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	viewDir	agi	432	432	cde48f233467f89fc36ca780bf12501e9f53ab8e1bd6986f5af7ec199fd0a830	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	vol.0	agi	25698	25698	ae51fcd87c385099e0601eb6b933cf13d8d7ae91442e8e0c6bcdb324f4c973e1	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	vol.1	agi	157561	157561	5a730f6135befda48e3859c5666ad2eb74494d66aca6aee79007d4960486749e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	vol.2	agi	69055	69055	b5edbaf48810cf287b2af3505cce4a1d0cf5350e5cdf14d39a77bccaa08f4ab5	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/kq1-drivepak.par	words.tok	agi	3144	3144	41d863172326c712c0aebadf12fc63b049ff5d892743f4ee990004c344eb3780	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/attr	host	511	511	e548ed01c4a6a2a694968529825024bbfc0626d17052481065084407685e2777	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/copy	host	1469	1469	a4f245eab570f1189d66324603016a1aec184d17fd4f422d0dad3d3305a9ec9b	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/del	host	103	103	660874a5bef09641c8acd6e5ed3dec8ac480b15931a083b6f89263b5226c8490	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/deldir	host	626	626	a1789f5698abc2654c0b029a67512c91e865baab7f20da3f28390787b6cac26a	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/dw	host	730	730	010fb42a1eba3371ab15c4c5851b6939e6682bb228a9931e5b09c59091c9a31d	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/format	host	4295	4295	b084b1a11ae7914d4e288b8abd49cd14b4e55bad842feb84bc9e389e8a5fe0d1	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/makdir	host	175	175	b192f728283e9fb5b1f0ff1a107c1984e6e3fb92be0510f74dc65f6c1c141088	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/MnLn	interpreter	25559	25559	c64de18528a7c6dbac67a732398240149ff1d025ab1c79b6dc46e72b6f7e59a6	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/rename	host	285	285	00a12333cbb86058f211241b7a649ef69eb7dc845ec1ae15015c4a1a8fda7cd6	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/Scrn	interpreter	1996	1996	07294eae61462220e7f6bfa80a28265bf094ad400a5eab37a83c2c7232a63c48	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/Shdw	interpreter	2484	2484	5779e4dce893e16f00b766f6769c9cf088f7ccbb430bfdb58f10fe5f946fa868	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/shell	host	8721	8721	5f8106e351fc6aaebd1a05bb45123ce5ecd746b412f4cbcffee9332e30ed0f96	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/sierra	interpreter	1371	1371	4f41f53e8951ba45556d3923eb06bc8fa39b545e2351bd87d90b383c5807e562	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	CMDS/TOCGen	interpreter	5752	5752	4adcfef0329f4c1494550d80fa721a307c95695ea09b5261a2bb18d544e52eee	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	logDir	agi	315	315	5f3e02f7829fd6f1359a230f4854e6a309ae096b3520ea85375f3c7f058cc25f	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	object	agi	331	331	2d1b7a75bb443b4a340cb8d9a2842ff5c834d7d597ea2a1365b6a7a2dfb57985	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	OS9Boot	host	24902	24902	d19c116566b2b6676844232d17efd429f52f68eed5de5385905be402a3463569	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	picDir	agi	255	255	924efb103fb14d42b1795a8bef60bbd426135d73c583700973762c289dae6f2d	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	sndDir	agi	66	66	20fcf2d91e3b8e1129725015daf185e2699e23f59842dbd076d14bc1fc2e4d5e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	Startup	host	366	366	fffbf3a7eb9d79a75f6ae4adddde194adf5b995cc54b7739fce21c73b4873c38	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	toc	host	8	8	5ae542ba3330d3c47a1d4277606de7f0c168730b921e6410bc4c6e64f5b761e0	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	toc.txt	host	15	15	6d4515f8d3fe942c2d22bbe12ea163840ad11ecc99b30dea2fd62d8ddef4c156	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	viewDir	agi	432	432	cde48f233467f89fc36ca780bf12501e9f53ab8e1bd6986f5af7ec199fd0a830	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	vol.0	agi	25698	25698	ae51fcd87c385099e0601eb6b933cf13d8d7ae91442e8e0c6bcdb324f4c973e1	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	vol.1	agi	157561	157561	5a730f6135befda48e3859c5666ad2eb74494d66aca6aee79007d4960486749e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	vol.2	agi	69055	69055	b5edbaf48810cf287b2af3505cce4a1d0cf5350e5cdf14d39a77bccaa08f4ab5	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-becker.dsk	words.tok	agi	3144	3144	41d863172326c712c0aebadf12fc63b049ff5d892743f4ee990004c344eb3780	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/attr	host	511	511	e548ed01c4a6a2a694968529825024bbfc0626d17052481065084407685e2777	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/copy	host	1469	1469	a4f245eab570f1189d66324603016a1aec184d17fd4f422d0dad3d3305a9ec9b	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/del	host	103	103	660874a5bef09641c8acd6e5ed3dec8ac480b15931a083b6f89263b5226c8490	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/deldir	host	626	626	a1789f5698abc2654c0b029a67512c91e865baab7f20da3f28390787b6cac26a	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/dw	host	730	730	010fb42a1eba3371ab15c4c5851b6939e6682bb228a9931e5b09c59091c9a31d	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/format	host	4295	4295	b084b1a11ae7914d4e288b8abd49cd14b4e55bad842feb84bc9e389e8a5fe0d1	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/makdir	host	175	175	b192f728283e9fb5b1f0ff1a107c1984e6e3fb92be0510f74dc65f6c1c141088	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/MnLn	interpreter	25559	25559	c64de18528a7c6dbac67a732398240149ff1d025ab1c79b6dc46e72b6f7e59a6	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/rename	host	285	285	00a12333cbb86058f211241b7a649ef69eb7dc845ec1ae15015c4a1a8fda7cd6	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/Scrn	interpreter	1996	1996	07294eae61462220e7f6bfa80a28265bf094ad400a5eab37a83c2c7232a63c48	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/Shdw	interpreter	2484	2484	5779e4dce893e16f00b766f6769c9cf088f7ccbb430bfdb58f10fe5f946fa868	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/shell	host	8721	8721	5f8106e351fc6aaebd1a05bb45123ce5ecd746b412f4cbcffee9332e30ed0f96	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/Sierra	interpreter	1371	1371	4f41f53e8951ba45556d3923eb06bc8fa39b545e2351bd87d90b383c5807e562	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	CMDS/TOCGen	interpreter	5752	5752	4adcfef0329f4c1494550d80fa721a307c95695ea09b5261a2bb18d544e52eee	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	logDir	agi	315	315	5f3e02f7829fd6f1359a230f4854e6a309ae096b3520ea85375f3c7f058cc25f	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	object	agi	331	331	2d1b7a75bb443b4a340cb8d9a2842ff5c834d7d597ea2a1365b6a7a2dfb57985	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	OS9Boot	host	24498	24498	0d569e1435e1bade70e4720ac5cd42ed05d76fea658d56da1804659a5115f92b	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	picDir	agi	255	255	924efb103fb14d42b1795a8bef60bbd426135d73c583700973762c289dae6f2d	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	sndDir	agi	66	66	20fcf2d91e3b8e1129725015daf185e2699e23f59842dbd076d14bc1fc2e4d5e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	Startup	host	366	366	fffbf3a7eb9d79a75f6ae4adddde194adf5b995cc54b7739fce21c73b4873c38	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	toc	host	8	8	5ae542ba3330d3c47a1d4277606de7f0c168730b921e6410bc4c6e64f5b761e0	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	toc.txt	host	15	15	6d4515f8d3fe942c2d22bbe12ea163840ad11ecc99b30dea2fd62d8ddef4c156	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	viewDir	agi	432	432	cde48f233467f89fc36ca780bf12501e9f53ab8e1bd6986f5af7ec199fd0a830	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	vol.0	agi	25698	25698	ae51fcd87c385099e0601eb6b933cf13d8d7ae91442e8e0c6bcdb324f4c973e1	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	vol.1	agi	157561	157561	5a730f6135befda48e3859c5666ad2eb74494d66aca6aee79007d4960486749e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	vol.2	agi	69055	69055	b5edbaf48810cf287b2af3505cce4a1d0cf5350e5cdf14d39a77bccaa08f4ab5	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/kq1-dw.dsk	words.tok	agi	3144	3144	41d863172326c712c0aebadf12fc63b049ff5d892743f4ee990004c344eb3780	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	CMDS/MnLn	interpreter	25559	25559	c64de18528a7c6dbac67a732398240149ff1d025ab1c79b6dc46e72b6f7e59a6	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	CMDS/Scrn	interpreter	1996	1996	07294eae61462220e7f6bfa80a28265bf094ad400a5eab37a83c2c7232a63c48	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	CMDS/Shdw	interpreter	2484	2484	5779e4dce893e16f00b766f6769c9cf088f7ccbb430bfdb58f10fe5f946fa868	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	CMDS/shell	host	8721	8721	5f8106e351fc6aaebd1a05bb45123ce5ecd746b412f4cbcffee9332e30ed0f96	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	CMDS/Sierra	interpreter	1371	1371	4f41f53e8951ba45556d3923eb06bc8fa39b545e2351bd87d90b383c5807e562	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	CMDS/TOCGen	interpreter	5752	5752	4adcfef0329f4c1494550d80fa721a307c95695ea09b5261a2bb18d544e52eee	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	logDir	agi	315	315	5f3e02f7829fd6f1359a230f4854e6a309ae096b3520ea85375f3c7f058cc25f	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	object	agi	331	331	2d1b7a75bb443b4a340cb8d9a2842ff5c834d7d597ea2a1365b6a7a2dfb57985	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	OS9Boot	host	22704	22704	8bc559aaf1394e303447d59a303d0d52c8bfaa797797146c1e689766cd4092b0	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	picDir	agi	255	255	924efb103fb14d42b1795a8bef60bbd426135d73c583700973762c289dae6f2d	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	sndDir	agi	66	66	20fcf2d91e3b8e1129725015daf185e2699e23f59842dbd076d14bc1fc2e4d5e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	Startup	host	366	366	fffbf3a7eb9d79a75f6ae4adddde194adf5b995cc54b7739fce21c73b4873c38	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	toc	host	8	8	5ae542ba3330d3c47a1d4277606de7f0c168730b921e6410bc4c6e64f5b761e0	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	toc.txt	host	15	15	6d4515f8d3fe942c2d22bbe12ea163840ad11ecc99b30dea2fd62d8ddef4c156	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	viewDir	agi	432	432	cde48f233467f89fc36ca780bf12501e9f53ab8e1bd6986f5af7ec199fd0a830	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	vol.0	agi	25698	25698	ae51fcd87c385099e0601eb6b933cf13d8d7ae91442e8e0c6bcdb324f4c973e1	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	vol.1	agi	157561	157561	5a730f6135befda48e3859c5666ad2eb74494d66aca6aee79007d4960486749e	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	vol.2	agi	69055	69055	b5edbaf48810cf287b2af3505cce4a1d0cf5350e5cdf14d39a77bccaa08f4ab5	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/kq1.dsk	words.tok	agi	3144	3144	41d863172326c712c0aebadf12fc63b049ff5d892743f4ee990004c344eb3780	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Savegames/kq1-sg.dsk	kq1sg.1	other	2257	2257	b59dcff00862a7c954bd05cf8ef734c05451cc935ba900839b614c6ce3496cad	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Savegames/kq1-sg.dsk	kq1sg.2	other	2257	2257	5499b1dde17773ef00130804d08b68dc2e1297a3d2b811f421bec604c19d66a2	0
King's Quest I (Sierra On-Line) (OS-9) (Coco 3)/Savegames/kq1-sg.dsk	kq1sg.3	other	2257	2257	f8f73e15fff51a134ec12abd765b7c0b178f648db259e4592b5c7530a9bd27a1	0
