# THREE-AXIS CORPUS CLASSIFICATION (AD-28) -- harness/tools/classify_corpus.py
# * MANIFEST ONLY. No game data here and none ever (§2P).
# dir_format / vol_format / interp_version are INDEPENDENT AXES. Each has a *_method
# saying HOW it was established. An EMPTY value was NOT ESTABLISHED -- never guessed.
# interp_version is populated ONLY from an oracle md5+size match (L-26): a version from
# the oracle's table and one inferred from file shape are different claims.
# Detection hash = md5 of the FIRST 5000 BYTES of the detection file, size enforced where
# the table gives one (advancedDetector.cpp:974 and :818, read not assumed -- L-25).
#
population	row	dir_format	dir_method	vol_format	vol_method	interp_version	interp_method	detect_file	detect_md5	detect_bytes	scummvm_id	scummvm_extra	scummvm_platform	match_note	scummvm_comment
CoCo3	King's Quest IV/Drivewire	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	ef1c0d2d14fe643929a092621c7459cc	741	kq4		CoCo3	ok	King's Quest 4 (CoCo3 360k/720k) | Unofficial port by Guillaume Major
CoCo3	King's Quest IV/Floppy 360K	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	ef1c0d2d14fe643929a092621c7459cc	741	kq4		CoCo3	ok	King's Quest 4 (CoCo3 360k/720k) | Unofficial port by Guillaume Major
CoCo3	King's Quest IV/Floppy 720K	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	ef1c0d2d14fe643929a092621c7459cc	741	kq4		CoCo3	ok	King's Quest 4 (CoCo3 360k/720k) | Unofficial port by Guillaume Major
CoCo3	King's Quest IV/Savegames	none	no DIR files		no LOGIC dir		UNMATCHED -- not established							no detection file	
CoCo3	King's Quest VI AGI/Coco SDC	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	2e809d080ba30bf94956e4297165fa5c	768				no md5 match	
CoCo3	King's Quest VI AGI/DrivePak	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	2e809d080ba30bf94956e4297165fa5c	768				no md5 match	
CoCo3	King's Quest VI AGI/Drivewire	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	2e809d080ba30bf94956e4297165fa5c	768				no md5 match	
CoCo3	King's Quest VI AGI/Floppy 360K	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	2e809d080ba30bf94956e4297165fa5c	768				no md5 match	
CoCo3	King's Quest VI AGI/Floppy 720K	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	2e809d080ba30bf94956e4297165fa5c	768				no md5 match	
CoCo3	King's Quest VI AGI/Savegames	none	no DIR files		no LOGIC dir		UNMATCHED -- not established							no detection file	
CoCo3	Leisure Suit Larry/Coco SDC	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	a2de1fe76565c3e8b40c9d036b5e5612	198	lsl1		CoCo3	ok	Leisure Suit Larry 1 (CoCo3 158k/360k) 1.0C [AGI 2.072] | Official port by Sierra
CoCo3	Leisure Suit Larry/DrivePak	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	a2de1fe76565c3e8b40c9d036b5e5612	198	lsl1		CoCo3	ok	Leisure Suit Larry 1 (CoCo3 158k/360k) 1.0C [AGI 2.072] | Official port by Sierra
CoCo3	Leisure Suit Larry/Drivewire	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	a2de1fe76565c3e8b40c9d036b5e5612	198	lsl1		CoCo3	ok	Leisure Suit Larry 1 (CoCo3 158k/360k) 1.0C [AGI 2.072] | Official port by Sierra
CoCo3	Leisure Suit Larry/Floppy 360K	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	a2de1fe76565c3e8b40c9d036b5e5612	198	lsl1		CoCo3	ok	Leisure Suit Larry 1 (CoCo3 158k/360k) 1.0C [AGI 2.072] | Official port by Sierra
CoCo3	Leisure Suit Larry/Original	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)	0x2440	oracle md5+size match; version on the entry line	logDir	a2de1fe76565c3e8b40c9d036b5e5612	198	lsl1		CoCo3	ok	Leisure Suit Larry 1 (CoCo3 158k/360k) 1.0C [AGI 2.072] | Official port by Sierra
CoCo3	Police Quest 1/Coco SDC	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	5edbf894d3220e13054a317885ffb958	768				no md5 match	
CoCo3	Police Quest 1/DrivePak	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	5edbf894d3220e13054a317885ffb958	768				no md5 match	
CoCo3	Police Quest 1/Drivewire	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	5edbf894d3220e13054a317885ffb958	768				no md5 match	
CoCo3	Police Quest 1/Floppy 360K	v2	four separate DIR files present	V3	ten consecutive 7-byte records held (oracle algorithm)		UNMATCHED -- not established	logDir	5edbf894d3220e13054a317885ffb958	768				no md5 match	
CoCo3	Police Quest 1/Savegames	none	no DIR files		no LOGIC dir		UNMATCHED -- not established							no detection file	
fan	0fb053	v2	four separate DIR files present	V2	V3 walk hit a bad signature		UNMATCHED -- not established	logdir	0fb053726a41e92f551a20a81b856776	141				no md5 match	
fan	13thdi	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	887719ad59afce9a41ec057dbb73ad73	615	agi-fanmade	The 13th Disciple (v1.00)	DOS	ok	
fan	2playd	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	4279f46b3cebd855132496476b1d2cca	300	agi-fanmade	2 Player Demo	DOS	ok	
fan	abrah	v2	four separate DIR files present	V2	V3 walk hit a bad signature		UNMATCHED -- not established	logdir	b7b6d1539e14d5a26fa3088288e1badc	756				no md5 match	
fan	acidop	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	7017db1a4b726d0d59e65e9020f7d9f7	300	agi-fanmade	Acidopolis	DOS	ok	
fan	ag2562	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	3cad9b3aff1467cebf0c5c5b110985c5	300	agi-fanmade	AGI256-2 Demo	DOS	ok	
fan	ag6vsn	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	136f89ca9f117c617e88a85119777529	300	agi-fanmade	Agent 06 vs. The Super Nazi	DOS	ok	
fan	agentq	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	59e49e8f72058a33c00d60ee1097e631	300	agi-fanmade	Agent Quest	DOS	ok	
fan	agi256	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	79261ac143b2e2773b2753674733b0d5	300	agi-fanmade	AGI256 Demo	DOS	ok	
fan	agnt55	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	c2b34a0c77acb05482781dda32895f24	603	agi-fanmade	Agent 0055 (v1.0)	DOS	ok	
fan	alpnd1	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	fb4699474054962e0dbfb4cf12ca52f6	603	agi-fanmade	Al Pond 1 - Al Lives Forever (v1.3)	DOS	ok	
fan	alpndh	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	8f30c260de9e1dd3d8b8f89cc19d2633	300	agi-fanmade	Al Pond - On Holiday (v1.3)	DOS	ok	
fan	apocaq	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	0eee850005860e46345b38fea093d194	306	agi-fanmade	Apocalyptic Quest (v4.00 Alpha 2)	DOS	ok	
fan	aquest	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	1cf1a5307c1a0a405f5039354f679814	768	agi-fanmade	AGI Quest (v1.46-TJ0)	DOS	ok	
fan	bandq	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	7326abefd793571cc17ed0db647bdf34	300	agi-fanmade	Band Quest (Demo)	DOS	ok	
fan	biriq1	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	1b08f34f2c43e626c775c9d6649e2f17	300	agi-fanmade	Biri Quest 1	DOS	ok	
fan	bobfby	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	e4b7df9d0830addee5af946d380e66d7	300	agi-fanmade	Bob The Farmboy	DOS	ok	
